zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
48112,PO BOX,0,Belleville,,,MI,Wayne County,America/Detroit,734,NA,US,42.2,-83.48,704
48113,PO BOX,0,Ann Arbor,,,MI,Washtenaw County,America/Detroit,734,NA,US,42.27,-83.73,278
48114,STANDARD,0,Brighton,,"Brighton Twp, Genoa Twp, Hartland Township",MI,Livingston County,America/Detroit,"248, 517, 810, 947",NA,US,42.57,-83.75,20890
48115,PO BOX,0,Bridgewater,,,MI,Washtenaw County,America/Detroit,734,NA,US,42.16,-83.89,32
48116,STANDARD,0,Brighton,,"Brighton Twp, Crooked Lake, Genoa Twp, Green Oak Twp",MI,Livingston County,America/Detroit,"248, 517, 734, 810, 947",NA,US,42.53,-83.78,26640
48117,STANDARD,0,Carleton,,Ash Twp,MI,Monroe County,America/Detroit,734,NA,US,42.05,-83.38,9760
48118,STANDARD,0,Chelsea,,"Freedom Twp, Lima Center, Lima Twp, Luce Twp, Lyndon Twp, Sylvan Twp",MI,Washtenaw County,America/Detroit,"517, 734",NA,US,42.31,-84.02,13040
48120,STANDARD,0,Dearborn,,,MI,Wayne County,America/Detroit,313,NA,US,42.31,-83.21,7520
48121,PO BOX,0,Dearborn,,,MI,Wayne County,America/Detroit,313,NA,US,42.31,-83.21,1824
48122,STANDARD,0,Melvindale,,,MI,Wayne County,America/Detroit,313,NA,US,42.28,-83.17,11320
48123,PO BOX,0,Dearborn,,,MI,Wayne County,America/Detroit,313,NA,US,42.31,-83.21,257
48124,STANDARD,0,Dearborn,,,MI,Wayne County,America/Detroit,313,NA,US,42.3,-83.25,31590
48125,STANDARD,0,Dearborn Heights,Dearborn Hts,,MI,Wayne County,America/Detroit,313,NA,US,42.28,-83.26,19000
48126,STANDARD,0,Dearborn,,,MI,Wayne County,America/Detroit,313,NA,US,42.33,-83.18,50010
48127,STANDARD,0,Dearborn Heights,Dearborn Hts,,MI,Wayne County,America/Detroit,"313, 734",NA,US,42.34,-83.28,38140
48128,STANDARD,0,Dearborn,,,MI,Wayne County,America/Detroit,313,NA,US,42.32,-83.26,11050
48130,STANDARD,0,Dexter,,"Dover, Four Mile Lk, Hudson Mills, Scio, Webster",MI,Washtenaw County,America/Detroit,734,NA,US,42.33,-83.87,16150
